Mthly_HH_Income,Mthly_HH_Expense,No_of_Fly_Members,Emi_or_Rent_Amt,Annual_HH_Income,Highest_Qualified_Member,No_of_Earning_Members,Mean Expense,Total Sum of Squared error,Predicted,SSE - Residual ,Intercept      ,6319.10176
5000,8000,3,2000,64200,UnderGraduate,1,18818,117029124,7822.89176,31367.32868,Mthly_HH_Income      ,0.300758
6000,7000,2,3000,79920,Illiterate,1,18818,139665124,8123.64976,1262588.783,Mean,18818
10000,4500,2,0,112800,UnderGraduate,1,18818,205005124,9326.68176,23296856.81,,
10000,2000,1,0,97200,Illiterate,1,18818,282845124,9326.68176,53680265.61,,
12500,12000,2,3000,147000,Graduate,1,18818,46485124,10078.57676,3691867.267,,
14000,8000,2,0,196560,Graduate,1,18818,117029124,10529.71376,6399451.708,,
15000,16000,3,35000,167400,PostGraduate,1,18818,7941124,10830.47176,26724022.22,,
18000,20000,5,8000,216000,Graduate,1,18818,1397124,11732.74576,68347492.67,,
19000,9000,2,0,218880,UnderGraduate,1,18818,96393124,12033.50376,9202145.062,,
20000,9000,4,0,220800,UnderGraduate,2,18818,96393124,12334.26176,11117301.48,,
20000,18000,4,8000,278400,UnderGraduate,2,18818,669124,12334.26176,32100589.8,,
22000,25000,6,12000,279840,Illiterate,1,18818,38217124,12935.77776,145545458.3,,
23400,5000,3,0,292032,Illiterate,1,18818,190937124,13356.83896,69836757.4,,
24000,10500,6,0,316800,Graduate,2,18818,69189124,13537.29376,9225153.385,,
24000,10000,4,0,244800,Graduate,2,18818,77757124,13537.29376,12512447.14,,
25000,12300,3,0,246000,Graduate,1,18818,42484324,13838.05176,2365603.216,,
25000,20000,3,3500,261000,Graduate,1,18818,1397124,13838.05176,37969606.11,,
25000,10000,6,0,258000,UnderGraduate,3,18818,77757124,13838.05176,14730641.31,,
29000,6600,2,2000,348000,Graduate,1,18818,149279524,15041.08376,71251895.04,,
30000,13000,4,0,385200,Graduate,1,18818,33849124,15341.84176,5484222.829,,
30500,25000,5,5000,351360,UnderGraduate,1,18818,38217124,15492.22076,90397866.08,,
32000,15000,4,0,445440,Professional,1,18818,14577124,15943.35776,889923.8634,,
34000,19000,6,0,330480,Professional,1,18818,33124,16544.87376,6027644.854,,
34000,25000,3,4000,469200,Professional,1,18818,38217124,16544.87376,71489159.73,,
35000,12000,3,0,466200,Graduate,1,18818,46485124,16845.63176,23480147.15,,
35000,25000,4,0,449400,Professional,2,18818,38217124,16845.63176,66493721.39,,
39000,8000,4,0,556920,UnderGraduate,1,18818,117029124,18048.66376,100975643.4,,
40000,10000,4,0,412800,UnderGraduate,1,18818,77757124,18349.42176,69712843.73,,
42000,15000,4,0,488880,Graduate,1,18818,14577124,18950.93776,15609909.18,,
43000,12000,4,0,619200,Graduate,1,18818,46485124,19251.69576,52587091.4,,
45000,25000,6,0,523800,Graduate,3,18818,38217124,19853.21176,26489429.19,,
45000,40000,6,3500,507600,Professional,2,18818,448677124,19853.21176,405893076.4,,
45000,10000,2,1000,437400,PostGraduate,1,18818,77757124,19853.21176,97085781.99,,
45000,22000,4,2500,610200,PostGraduate,1,18818,10125124,19853.21176,4608699.747,,
46000,25000,5,3500,596160,Graduate,1,18818,38217124,20153.96976,23484009.09,,
47000,15000,7,0,456840,Professional,4,18818,14577124,20454.72776,29754054.94,,
50000,20000,4,0,570000,Professional,1,18818,1397124,21357.00176,1841453.777,,
50500,20000,3,0,581760,Professional,2,18818,1397124,21507.38076,2272196.756,,
55000,45000,6,12000,600600,Graduate,2,18818,685497124,22860.79176,490144541.5,,
60000,10000,3,0,590400,PostGraduate,1,18818,77757124,24364.58176,206341209.1,,
60000,50000,6,10000,590400,Graduate,1,18818,972317124,24364.58176,657174668.3,,
65000,20000,4,5000,647400,Illiterate,2,18818,1397124,25868.37176,34437787.11,,
70000,9000,2,0,756000,Graduate,1,18818,96393124,27372.16176,337536327.7,,
80000,20000,4,0,1075200,Graduate,1,18818,1397124,30379.74176,107739039,,
85000,25000,5,0,1142400,UnderGraduate,2,18818,38217124,31883.53176,47383009.49,,
90000,48000,7,0,885600,PostGraduate,3,18818,851589124,33387.32176,213530365.3,,
98000,25000,5,0,1152480,Professional,2,18818,38217124,35793.38576,116497176.2,,
100000,30000,6,0,1404000,Graduate,3,18818,125037124,36394.90176,40894768.52,,
100000,50000,4,20000,1032000,Professional,2,18818,972317124,36394.90176,185098698.1,,
100000,40000,6,10000,1320000,PostGraduate,1,18818,448677124,36394.90176,12996733.32,,
,,,,,,,,7162493800,,4143642710,,
